Дата,Описание,Сумма
2023-01-10,Оплата от клиента A,650000
2023-01-15,Аренда офиса,-150000
2023-01-25,Зарплата сотрудникам,-300000
2023-01-28,Налоги,-50000
2023-02-01,Получение банковского кредита,5000000
2023-02-05,Приобретение производственного оборудования,-7000000
2023-02-10,Оплата от клиента B,700000
2023-02-15,Аренда офиса,-150000
2023-02-25,Зарплата сотрудникам,-300000
2023-03-05,Платеж по кредиту (основной долг),-138889
2023-03-05,Уплата процентов по кредиту,-41667
2023-03-10,Оплата от клиента C,750000
2023-03-15,Аренда офиса,-150000
2023-03-25,Зарплата сотрудникам,-300000
2023-04-05,Платеж по кредиту (основной долг),-138889
2023-04-05,Уплата процентов по кредиту,-40486
2023-04-10,Оплата от клиента A,800000
2023-04-15,Аренда офиса,-150000
2023-04-25,Зарплата сотрудникам,-300000
2023-04-28,Налоги,-65000
2023-05-05,Платеж по кредиту (основной долг),-138889
2023-05-05,Уплата процентов по кредиту,-39305
2023-05-10,Оплата от клиента B,720000
2023-05-15,Аренда офиса,-150000
2023-05-25,Зарплата сотрудникам,-300000
2023-06-05,Платеж по кредиту (основной долг),-138889
2023-06-05,Уплата процентов по кредиту,-38125
2023-06-10,Оплата от клиента C,850000
2023-06-15,Аренда офиса,-150000
2023-06-25,Зарплата сотрудникам,-350000
2023-07-05,Платеж по кредиту (основной долг),-138889
2023-07-05,Уплата процентов по кредиту,-36944
2023-07-10,Оплата от клиента A,900000
2023-07-15,Аренда офиса,-150000
2023-07-25,Зарплата сотрудникам,-350000
2023-07-28,Налоги,-75000
2023-08-05,Платеж по кредиту (основной долг),-138889
2023-08-05,Уплата процентов по кредиту,-35764
2023-08-10,Оплата от клиента B,880000
2023-08-15,Аренда офиса,-150000
2023-08-25,Зарплата сотрудникам,-350000
2023-09-05,Платеж по кредиту (основной долг),-138889
2023-09-05,Уплата процентов по кредиту,-34583
2023-09-10,Оплата от клиента C,920000
2023-09-15,Аренда офиса,-150000
2023-09-25,Зарплата сотрудникам,-350000
2023-10-05,Платеж по кредиту (основной долг),-138889
2023-10-05,Уплата процентов по кредиту,-33403
2023-10-10,Оплата от клиента A,950000
2023-10-15,Аренда офиса,-160000
2023-10-25,Зарплата сотрудникам,-350000
2023-10-28,Налоги,-85000
2023-11-05,Платеж по кредиту (основной долг),-138889
2023-11-05,Уплата процентов по кредиту,-32222
2023-11-10,Оплата от клиента B,980000
2023-11-15,Аренда офиса,-160000
2023-11-25,Зарплата сотрудникам,-350000
2023-12-05,Платеж по кредиту (основной долг),-138889
2023-12-05,Уплата процентов по кредиту,-31042
2023-12-10,Оплата от клиента C,1100000
2023-12-15,Аренда офиса,-160000
2023-12-25,Зарплата сотрудникам,-350000
2024-01-05,Платеж по кредиту (основной долг),-138889
2024-01-05,Уплата процентов по кредиту,-29861
2024-01-10,Оплата от клиента A,1000000
2024-01-15,Аренда офиса,-160000
2024-01-25,Зарплата сотрудникам,-400000
2024-01-28,Налоги,-95000
2024-02-05,Платеж по кредиту (основной долг),-138889
2024-02-05,Уплата процентов по кредиту,-28681
2024-02-10,Оплата от клиента B,1050000
2024-02-15,Аренда офиса,-160000
2024-02-25,Зарплата сотрудникам,-400000
2024-03-05,Платеж по кредиту (основной долг),-138889
2024-03-05,Уплата процентов по кредиту,-27500
2024-03-10,Оплата от клиента C,1100000
2024-03-15,Аренда офиса,-160000
2024-03-25,Зарплата сотрудникам,-400000
2024-04-05,Платеж по кредиту (основной долг),-138889
2024-04-05,Уплата процентов по кредиту,-26319
2024-04-10,Оплата от клиента A,1150000
2024-04-15,Аренда офиса,-170000
2024-04-25,Зарплата сотрудникам,-400000
2024-04-28,Налоги,-110000
2024-05-05,Платеж по кредиту (основной долг),-138889
2024-05-05,Уплата процентов по кредиту,-25139
2024-05-10,Оплата от клиента B,1200000
2024-05-15,Аренда офиса,-170000
2024-05-25,Зарплата сотрудникам,-400000
2024-06-05,Платеж по кредиту (основной долг),-138889
2024-06-05,Уплата процентов по кредиту,-23958
2024-06-10,Оплата от клиента C,1250000
2024-06-15,Аренда офиса,-170000
2024-06-25,Зарплата сотрудникам,-400000
2024-07-05,Платеж по кредиту (основной долг),-138889
2024-07-05,Уплата процентов по кредиту,-22778
2024-07-10,Оплата от клиента A,1300000
2024-07-15,Аренда офиса,-170000
2024-07-25,Зарплата сотрудникам,-450000
2024-07-28,Налоги,-125000
2024-08-05,Платеж по кредиту (основной долг),-138889
2024-08-05,Уплата процентов по кредиту,-21597
2024-08-10,Оплата от клиента B,1350000
2024-08-15,Аренда офиса,-170000
2024-08-25,Зарплата сотрудникам,-450000
2024-09-05,Платеж по кредиту (основной долг),-138889
2024-09-05,Уплата процентов по кредиту,-20417
2024-09-10,Оплата от клиента C,1400000
2024-09-15,Аренда офиса,-170000
2024-09-25,Зарплата сотрудникам,-450000
2024-10-05,Платеж по кредиту (основной долг),-138889
2024-10-05,Уплата процентов по кредиту,-19236
2024-10-10,Оплата от клиента A,1450000
2024-10-15,Аренда офиса,-180000
2024-10-25,Зарплата сотрудникам,-450000
2024-10-28,Налоги,-140000
2024-11-05,Платеж по кредиту (основной долг),-138889
2024-11-05,Уплата процентов по кредиту,-18056
2024-11-10,Оплата от клиента B,1500000
2024-11-15,Аренда офиса,-180000
2024-11-25,Зарплата сотрудникам,-450000
2024-12-05,Платеж по кредиту (основной долг),-138889
2024-12-05,Уплата процентов по кредиту,-16875
2024-12-10,Оплата от клиента C,1600000
2024-12-15,Аренда офиса,-180000
2024-12-25,Зарплата сотрудникам,-450000
2024-12-28,Новогодний бонус,-250000
